Farm,Region,Patch_No,YEAR,Shelter,Butts,ButtSp,Flowers,FlowerSp,Concerns,Experience,Motivation,PCSemi_Nat,NBN,Temp,Wind,Summ_Max
E4.11,L1,P1,2007,6,4,1,1407,6,3.33,2,s2,14.8,24,22.75,2,21.04
E4.11,L1,P2,2007,6,9,1,421,6,3.33,2,s2,14.8,24,23,2,21.04
E4.11,L1,P3,2007,3,0,0,1,1,3.33,2,s2,14.8,24,22.5,2.25,21.04
E4.11,L1,P1,2008,6,25,4,29,3,3.33,2,s2,14.8,24,21,0.833333333,20.70322581
E4.11,L1,P2,2008,6,7,3,0,0,3.33,2,s2,14.8,24,21,1.5,20.70322581
E4.11,L1,P3,2008,3,6,2,0,0,3.33,2,s2,14.8,24,21,1.75,20.70322581
E4.12,L1,P1,2007,1.5,3,2,160,4,3.33,3,s2,7.7,17,17.5,4,18.6516129
E4.12,L1,P2,2007,0,5,3,1,1,3.33,3,s2,7.7,17,22.5,2.5,18.6516129
E4.12,L1,P3,2007,0,1,1,0,0,3.33,3,s2,7.7,17,22.5,2.75,18.6516129
E4.12,L1,P1,2008,1.5,2,2,15,4,3.33,3,s2,7.7,17,18.75,5,18.87460317
E4.12,L1,P2,2008,0,8,3,54,3,3.33,3,s2,7.7,17,23.5,5,18.87460317
E4.12,L1,P3,2008,0,8,4,88,2,3.33,3,s2,7.7,17,23,5,18.87460317
E4.13,L1,P1,2007,0,2,2,2751,3,5,2,s2,26.4,27,20,3,19.17777778
E4.13,L1,P2,2007,0,4,3,624,7,5,2,s2,26.4,27,17,2,19.17777778
E4.13,L1,P3,2007,1.5,4,2,1145,2,5,2,s2,26.4,27,19.75,2.5,19.17777778
E4.13,L1,P1,2008,0,2,1,1108,11,5,2,s2,26.4,27,21,5,19.3546875
E4.13,L1,P2,2008,0,3,2,244,7,5,2,s2,26.4,27,22.66666667,2.666666667,19.3546875
E4.13,L1,P3,2008,0,11,4,645,8,5,2,s2,26.4,27,20.5,2.25,19.3546875
E4.16,L1,P1,2007,0,0,0,61,5,2.11,2,s2,8.4,12,20.5,3,18.6516129
E4.16,L1,P2,2007,0,1,1,162,7,2.11,2,s2,8.4,12,19.5,2.75,18.6516129
E4.16,L1,P3,2007,0,7,1,642,6,2.11,2,s2,8.4,12,21.75,3.5,18.6516129
E4.16,L1,P1,2008,0,0,0,0,0,2.11,2,s2,8.4,12,19.5,3.75,18.87460317
E4.16,L1,P2,2008,0,2,1,61,6,2.11,2,s2,8.4,12,20,4,18.87460317
E4.16,L1,P3,2008,0,3,2,315,6,2.11,2,s2,8.4,12,21,3.75,18.87460317
E4.17,L1,P1,2007,0,0,0,862,7,3.89,2,s2,18.8,23,19.75,2.5,18.6516129
E4.17,L1,P2,2007,0,0,0,934,6,3.89,2,s2,18.8,23,21.5,1.5,18.6516129
E4.17,L1,P1,2008,0,0,0,382,13,3.89,2,s2,18.8,23,22,4,18.87460317
E4.17,L1,P2,2008,0,21,5,478,6,3.89,2,s2,18.8,23,21,4,18.87460317
E4.19,L1,P1,2007,3,18,5,129,6,2.67,4,s2,11,12,18.5,1.5,18.6516129
E4.19,L1,P2,2007,3,9,4,639,5,2.67,4,s2,11,12,24.5,1.25,18.6516129
E4.19,L1,P3,2007,3,6,3,0,0,2.67,4,s2,11,12,23,1,18.6516129
E4.19,L1,P1,2008,3,9,6,66,4,2.67,4,s2,11,12,20,1.75,18.87460317
E4.19,L1,P2,2008,3,18,7,527,2,2.67,4,s2,11,12,21.5,3.75,18.87460317
E4.19,L1,P3,2008,3,1,1,0,0,2.67,4,s2,11,12,21,3.75,18.87460317
E4.2,L1,P1,2007,0,2,1,9326,8,3.33,1,s1,19.3,28,20,3.5,19.17777778
E4.2,L1,P2,2007,1.5,11,5,1663,9,3.33,1,s1,19.3,28,20,3,19.17777778
E4.2,L1,P3,2007,0.5,10,7,5213,6,3.33,1,s1,19.3,28,20,3.5,19.17777778
E4.2,L1,P1,2008,0,1,1,626,7,3.33,1,s1,19.3,28,19,3.75,19.3546875
E4.2,L1,P2,2008,1.5,3,2,638,5,3.33,1,s1,19.3,28,19.5,3.5,19.3546875
E4.2,L1,P3,2008,0.5,4,2,405,7,3.33,1,s1,19.3,28,18.5,2.75,19.3546875
E4.22,L1,P1,2007,3,29,4,1112,10,2.44,2,s2,11.8,26,19.75,2.5,19.17777778
E4.22,L1,P2,2007,3,27,5,1519,7,2.44,2,s2,11.8,26,21,2.5,19.17777778
E4.22,L1,P3,2007,3,3,3,1632,8,2.44,2,s2,11.8,26,20.75,2.5,19.17777778
E4.22,L1,P1,2008,3,3,2,394,5,2.44,2,s2,11.8,26,21.5,2.75,19.3546875
E4.22,L1,P2,2008,3,50,8,462,6,2.44,2,s2,11.8,26,20.75,1.5,19.3546875
E4.22,L1,P3,2008,3,11,6,687,6,2.44,2,s2,11.8,26,24,1.75,19.3546875
E4.23,L1,P1,2007,5,3,2,102,4,3.44,3,s2,3.2,22,21.25,3,18.6516129
E4.23,L1,P2,2007,3,5,3,5,2,3.44,3,s2,3.2,22,19.75,3,18.6516129
E4.23,L1,P3,2007,0,3,2,68,6,3.44,3,s2,3.2,22,20.75,3,18.6516129
E4.23,L1,P1,2008,5,7,3,840,17,3.44,3,s2,3.2,22,22.5,3,18.87460317
E4.23,L1,P2,2008,5,10,4,860,9,3.44,3,s2,3.2,22,22,2.75,18.87460317
E4.23,L1,P3,2008,0,0,0,2571,12,3.44,3,s2,3.2,22,23,3,18.87460317
E4.26,L1,P1,2007,6,0,0,6,2,3.44,2,s2,10.8,25,23.5,0.25,19.17777778
E4.26,L1,P2,2007,3.5,5,2,715,5,3.44,2,s2,10.8,25,22,2.25,19.17777778
E4.26,L1,P3,2007,5,13,3,201,4,3.44,2,s2,10.8,25,22.5,1.25,19.17777778
E4.26,L1,P1,2008,6,2,1,553,5,3.44,2,s2,10.8,25,20,1.75,19.3546875
E4.26,L1,P2,2008,3.5,38,4,560,6,3.44,2,s2,10.8,25,20.25,1.5,19.3546875
E4.26,L1,P3,2008,5,2,2,345,8,3.44,2,s2,10.8,25,20.5,1.75,19.3546875
E4.6,L1,P1,2007,3,14,5,1052,4,5,2,s1,7.8,12,15.75,2.25,19.2152
E4.6,L1,P2,2007,0,7,2,948,7,5,2,s1,7.8,12,17.5,3,19.2152
E4.6,L1,P3,2007,0,2,2,705,4,5,2,s1,7.8,12,18,3.666666667,19.2152
E4.6,L1,P1,2008,3,28,8,316,3,5,2,s1,7.8,12,20.25,3.75,19.7047619
E4.6,L1,P2,2008,0,10,4,280,5,5,2,s1,7.8,12,21.5,3.25,19.7047619
E4.6,L1,P3,2008,0,7,4,43,5,5,2,s1,7.8,12,21,3.75,19.7047619
E4.7,L1,P1,2007,0,11,6,211,8,3,2,s1,5.1,23,20,1.75,19.2152
E4.7,L1,P2,2007,0.5,6,3,1078,6,3,2,s1,5.1,23,16.75,1.75,19.2152
E4.7,L1,P3,2007,0.5,4,3,583,5,3,2,s1,5.1,23,21,2,19.2152
E4.7,L1,P1,2008,0,1,1,0,0,3,2,s1,5.1,23,24,3,19.7047619
E4.7,L1,P2,2008,0.5,4,2,184,3,3,2,s1,5.1,23,23.5,2.75,19.7047619
E4.7,L1,P3,2008,0.5,22,6,50,2,3,2,s1,5.1,23,24.5,2.5,19.7047619
W4.15,L2,P1,2007,3,0,0,132,6,3.56,1,s3,10.7,30,17.5,3.5,18.01935484
W4.15,L2,P2,2007,3,2,2,831,7,3.56,1,s3,10.7,30,18,2.25,18.01935484
W4.15,L2,P3,2007,5,7,3,25,3,3.56,1,s3,10.7,30,19,3.25,18.01935484
W4.15,L2,P1,2008,3,7,2,459,4,3.56,1,s3,10.7,30,18.5,2.25,17.42
W4.15,L2,P2,2008,3,2,2,763,3,3.56,1,s3,10.7,30,19,2.25,17.42
W4.15,L2,P3,2008,5,6,2,52,3,3.56,1,s3,10.7,30,17,3.25,17.42
W4.16,L2,P1,2007,3,0,0,1169,8,3.22,1,s2,16.9,32,17,2.25,18.62301587
W4.16,L2,P2,2007,4,1,1,1441,5,3.22,1,s2,16.9,32,17,2,18.62301587
W4.16,L2,P1,2008,3,3,3,25,3,3.22,1,s2,16.9,32,21.5,2.25,18.39193548
W4.16,L2,P2,2008,4,0,0,23,2,3.22,1,s2,16.9,32,21,3,18.39193548
W4.18,L2,P1,2007,3,5,4,1145,4,3.22,1,s1,15.8,31,21,3.25,18.77096774
W4.18,L2,P2,2007,3,2,1,785,5,3.22,1,s1,15.8,31,20.25,2.75,18.77096774
W4.18,L2,P3,2007,1.5,2,2,1830,5,3.22,1,s1,15.8,31,21.5,3,18.77096774
W4.18,L2,P1,2008,3,2,2,108,9,3.22,1,s1,15.8,31,18,1.25,18.10327869
W4.18,L2,P2,2008,3,1,1,304,8,3.22,1,s1,15.8,31,19.25,2,18.10327869
W4.18,L2,P3,2008,1.5,3,1,483,7,3.22,1,s1,15.8,31,19.75,1.75,18.10327869
W4.20,L2,P1,2007,3,6,5,3354,4,4,1,s1,20.5,29,17.75,3.25,18.62301587
W4.20,L2,P2,2007,3,0,0,1072,4,4,1,s1,20.5,29,18,3.25,18.62301587
W4.20,L2,P1,2008,3,9,2,419,7,4,1,s1,20.5,29,21,1.5,18.39193548
W4.20,L2,P2,2008,3,7,1,303,5,4,1,s1,20.5,29,19.5,2.75,18.39193548
W4.26,L2,P1,2007,3,0,0,1274,9,3,2,s2,8.3,32,21.25,2.25,18.0515873
W4.26,L2,P2,2007,2,1,1,43,2,3,2,s2,8.3,32,21,2.5,18.0515873
W4.26,L2,P1,2008,3,0,0,915,5,3,2,s2,8.3,32,18.5,1,17.58793103
W4.26,L2,P2,2008,5,1,1,656,4,3,2,s2,8.3,32,19.5,1.25,17.58793103
W4.29,L2,P1,2007,3,1,1,1073,6,3.67,2,s2,17.7,32,17.5,2.5,18.62301587
W4.29,L2,P2,2007,3,12,1,1401,12,3.67,2,s2,17.7,32,17,4.25,18.62301587
W4.29,L2,P1,2008,3,0,0,12,3,3.67,2,s2,17.7,32,21,2.75,18.39193548
W4.29,L2,P2,2008,3,4,1,161,7,3.67,2,s2,17.7,32,19.5,2,18.39193548
W4.30,L2,P1,2007,2.5,1,1,976,4,3.11,4,s2,8.5,32,17.25,3.75,18.62301587
W4.30,L2,P2,2007,1,4,3,141,9,3.11,4,s2,8.5,32,17.25,4,18.62301587
W4.30,L2,P1,2008,2.5,3,2,544,8,3.11,4,s2,8.5,32,19.25,3,18.39193548
W4.30,L2,P2,2008,1,0,0,196,7,3.11,4,s2,8.5,32,19,4.25,18.39193548
W4.35,L2,P1,2007,3,2,1,521,9,2.22,4,s1,24.5,32,17.5,2,18.62301587
W4.35,L2,P2,2007,1,2,2,95,5,2.22,4,s1,24.5,32,17.5,2.25,18.62301587
W4.35,L2,P1,2008,3,1,1,45,4,2.22,4,s1,24.5,32,18.25,1.75,18.39193548
W4.35,L2,P2,2008,1,0,0,0,0,2.22,4,s1,24.5,32,18.5,2.75,18.39193548
W4.37,L2,P1,2007,3.5,4,2,1670,3,2.89,3,s2,10.4,31,18.5,2.5,18.77096774
W4.37,L2,P2,2007,4,23,2,374,8,2.89,3,s2,10.4,31,19,2,18.77096774
W4.37,L2,P1,2008,3.5,4,2,64,6,2.89,3,s2,10.4,31,17.5,2.75,18.10327869
W4.37,L2,P2,2008,4,19,3,199,6,2.89,3,s2,10.4,31,17.75,2.75,18.10327869
W4.46,L2,P1,2007,3,0,0,3438,6,3.22,3,s3,14.7,31,19.5,3.5,18.62301587
W4.46,L2,P1,2008,3,0,0,956,9,3.22,3,s3,14.7,31,19,1.5,18.39193548
W4.5,L2,P1,2007,3.5,0,0,308,2,2.67,1,s2,7.5,32,17,3.75,19.06612903
W4.5,L2,P2,2007,3,7,3,715,13,2.67,1,s2,7.5,32,17.25,2.25,19.06612903
W4.5,L2,P3,2007,0,4,2,1166,8,2.67,1,s2,7.5,32,17.5,3.75,19.06612903
W4.5,L2,P1,2008,3.5,1,1,18,1,2.67,1,s2,7.5,32,16.5,2.75,18.609375
W4.5,L2,P2,2008,3,5,2,213,11,2.67,1,s2,7.5,32,17,2.5,18.609375
W4.5,L2,P3,2008,0,0,0,59,3,2.67,1,s2,7.5,32,16,2.5,18.609375
W4.8,L2,P1,2007,2,5,2,92,3,3,4,s1,9.3,26,21,2.5,18.0515873
W4.8,L2,P2,2007,2.5,4,2,88,3,3,4,s1,9.3,26,21,3,18.0515873
W4.8,L2,P1,2008,2,6,2,10,4,3,4,s1,9.3,26,23,2,17.58793103
W4.8,L2,P2,2008,2.5,4,2,9,2,3,4,s1,9.3,26,25,1.75,17.58793103
